Job Title,Company,Salary,Location
Senior Business Analyst (Data) - TNTech - 2V045,Tập đoàn ROX (ROX Group),Lương: 30 Tr - 45 Tr VND,Hà Nội
Senior Data Engineer - TNTech - 2V047,Tập đoàn ROX (ROX Group),Lương: 35 Tr - 45 Tr VND,Hà Nội
"Team Leader, Service Delivery (SAP S4/Hana)",Công Ty Cổ Phần Đầu Tư Nam Long,Lương: Cạnh Tranh,Hồ Chí Minh
Lập trình viên Frontend (ReactJS),Công ty CP IIG Việt Nam,Lương: 20 Tr - 25 Tr VND,Hà Nội
Data Management Specialist,Tan Hiep Phat Group,Lương: Cạnh Tranh,Bình Dương
Senior Application Operation Specialist (CRM),FE CREDIT,"Lương: 1,000 - 1,500 USD",Hồ Chí Minh
Quản lý cao cấp - ERP,CÔNG TY TNHH MTV CHẾ TÁC VÀ KINH DOANH TRANG SỨC PNJ,Lương: Cạnh Tranh,Hồ Chí Minh
[BASEL]_Chuyên viên Tổ PMO dự án Basel,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Lương: Cạnh Tranh,Hà Nội
Business Solutions & Information System (IS) Director (Warehouse Solutions & IS Director),CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM,Lương: Cạnh Tranh,Hồ Chí Minh
Senior IT Network Engineer,CÔNG TY CỔ PHẦN GIẢI PHÁP GENE - GENE SOLUTIONS,Lương: Cạnh Tranh,Hồ Chí Minh
Sales Admin( Fresher Are Welcome),CÔNG TY TNHH NETMARKS VIỆT NAM,Lương: Cạnh tranh,Hà Nội
Chuyên Viên Phân Tích Nghiệp Vụ (BA),CÔNG TY CỔ PHẦN PHÁT TRIỂN BẤT ĐỘNG SẢN VĂN PHÚ,Lương: Cạnh tranh,Hà Nội
Chuyên viên Phát Triển Ứng Dụng – Mobile & Web Full Stack Developer,Tập Đoàn Đất Xanh,Lương: 25 Tr - 35 Tr VND,Hồ Chí Minh
ERP Application Supervisor (Dynamics 365 Business Central),CÔNG TY TNHH MINTHACARE,Lương: Cạnh tranh,Hồ Chí Minh
Chuyên Viên Chính Sách An Ninh Thông Tin (An Ninh Thông Tin),NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Lương: Cạnh tranh,Hà Nội
"Chuyên Viên Chính Sách An Ninh Thông Tin (Chính Sách, Tuân Thủ)",NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Lương: Cạnh tranh,Hà Nội
Chuyên Viên Chính Sách An Ninh Thông Tin (Kiến Trúc An Ninh Thông Tin),NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Lương: Cạnh tranh,Hà Nội
Account Manager,Công ty CP Đầu Tư TM và Phát Triển Công Nghệ FSI,Lương: 15 Tr - 30 Tr VND,"Hồ Chí Minh
Hà Nội"
Kiểm soát Nội bộ (Mảng Công nghệ thông tin),Công Ty Cổ Phần Tập Đoàn Đèo Cả,Lương: 20 Tr - 30 Tr VND,Hồ Chí Minh
