Job Title,Company,Salary,Location
"Quản lý khách hàng 27048 - Quận 4, HCM",Công Ty TNHH Reeracoen Việt Nam,Lương: 12 Tr - 20 Tr VND,Hồ Chí Minh
Power BI Developer,East West Industries Vietnam LLC.,Lương: Cạnh Tranh,Bình Dương
Data Engineer Executive,Công Ty Cổ Phần Tập Đoàn TH,Lương: Cạnh Tranh,Hà Nội
Lead Data Engineer,Viet Thai International,Lương: Cạnh Tranh,Hồ Chí Minh
R&D Engineer,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh Tranh,Hồ Chí Minh
"[Middle, Senior] Mobile Developer (Flutter, React Native) - Khối Công nghệ thông tin (HO25.495)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
"[Junior, Middle] Mobile Developer (Flutter, React Native) - Khối Công nghệ thông tin (HO25.494)",Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
Chuyên viên Quản trị Cơ sở Dữ liệu - Database Administrator  - Khối Công nghệ thông tin (HO25.496),Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
[PHENIKAA UNI] Tuyển dụng kỹ sư phần mềm – Trung tâm Công nghệ thông tin,ĐẠI HỌC PHENIKAA,Lương: Cạnh Tranh,Hà Nội
Cán bộ Quản lý dự án (PMO) - Ban Dự án CNTT,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam (BIC),Lương: Cạnh Tranh,Hà Nội
Risk Modelling Operations Senior Specialist,FE CREDIT,Lương: Cạnh Tranh,Hồ Chí Minh
Data Intelligence Analyst,RED2 DIGITAL,Lương: Cạnh Tranh,Hồ Chí Minh
Full Stack Developer Team Lead,California Wellness Group,Lương: Cạnh Tranh,Hồ Chí Minh
Nhân Viên Thiết Kế Chuyển Động (Motion Designer),CÔNG TY TNHH QUICK VIỆT NAM,Lương: 30 Tr - 50 Tr VND,Hồ Chí Minh
Chuyên Viên Cao Cấp Phát Triển Sản Phẩm Giao Dịch Chứng Khoán,Công Ty CP Chứng Khoán VNDIRECT,Lương: Cạnh Tranh,Hà Nội
Chuyên Viên Quản Lý Vận Hành Kênh Số & Phân Tích Dữ Liệu (Digital Ops),TẬP ĐOÀN Y TẾ VIỆT - NGA,Lương: Trên 25 Tr VND,Hà Nội
Chuyên viên Cao cấp Phân tích nghiệp vụ (BA),BIM Group,Lương: Cạnh tranh,Hà Nội
"Quản lý dự án IT có Tiếng Nhật 27096 - Thạnh Mỹ Tây, HCM",Công Ty TNHH Reeracoen Việt Nam,Lương: 45 Tr - 50 Tr VND,Hồ Chí Minh
Senior Data Analyst,Công Ty CP Việt Tinh Anh,Lương: Cạnh tranh,Hồ Chí Minh
Senior/Middle QA/QC Engineer,Tập Đoàn CT Group Việt Nam,Lương: Cạnh tranh,Hồ Chí Minh
Scrum Master (SM),CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh tranh,Hồ Chí Minh
CHUYÊN VIÊN PHÂN TÍCH NGHIỆP VỤ ERP,Công ty Cổ phần CANIFA,Lương: 16 Tr - 30 Tr VND,Hà Nội
Phân tích nghiệp vụ - Tự động hóa quy trình,Công ty Cổ phần CANIFA,Lương: 15 Tr - 30 Tr VND,Hà Nội
Trưởng Phòng IT - Công nghệ thông tin,Công Ty Cổ Phần A25 Hotel,Lương: 35 Tr - 60 Tr VND,Hà Nội
AI Engineer,Công Ty Cổ phần Tài Việt (Vietstock.vn),Lương: 8 Tr - 18 Tr VND,Hồ Chí Minh
Senior Data Decision Scientist (Techcom Life),NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Lương: Cạnh tranh,Hà Nội
Data Governance Manager,LOTTE FINANCE VIETNAM,Lương: Cạnh tranh,Hà Nội
Data Governance Expert,LOTTE FINANCE VIETNAM,Lương: Cạnh tranh,Hà Nội
Sales Executive (Account Manager),"Iconic Co.,Ltd","Lương: 1,000 - 1,500 USD",Hồ Chí Minh
"Kỹ Sư Lập Trình PLC, ROBOT",Công ty Cổ phần Giải pháp Tự động hóa ETEK,Lương: Cạnh tranh,Hà Nội
Kiểm toán viên Công nghệ thông tin,Tổng Công ty Cổ phần Bảo hiểm Quân đội (MIC),Lương: Cạnh tranh,Hà Nội
Bình Dương - Kỹ sư phát triển Power Platform,CÔNG TY TNHH POLYTEX FAR EASTERN (VIỆT NAM),Lương: 10 Tr - 18 Tr VND,Bình Dương
IT Developer (Tuyển mở rộng),Công Ty TNHH T.M.G,Lương: Cạnh tranh,Hồ Chí Minh
Nhân viên Developer (Full stack),Công ty Cổ phần đầu tư phát triển máy Việt Nam,Lương: 13 Tr - 25 Tr VND,Hà Nội
Quality Control - LOS,FE CREDIT,"Lương: 1,000 - 1,600 USD",Hồ Chí Minh
SEO Executive,CÔNG TY TNHH DU LỊCH TIÊN PHONG Á CHÂU,Lương: Cạnh Tranh,Hà Nội
Country Solutions and IT Services Sales Head,ShelbyGlobal Vietnam Company Limited,"Lương: Trên 5,000 USD",Hà Nội
Legal Counsel ( RWA & Web3),Công ty Cổ phần Tập đoàn Meey Land,Lương: 20 Tr - 35 Tr VND,Hà Nội
124001 - C# Senior/Tech Leader - IT,"RGF HR Agent Vietnam Co., LTD",Lương: 52 Tr - 100 Tr VND,Hồ Chí Minh
"HO - Trưởng bộ phận Quản trị rủi ro công nghệ và thẻ, Khối Quản lý rủi ro",Ngân Hàng TMCP Phương Đông - OCB,Lương: Cạnh Tranh,Hồ Chí Minh
Product Owner - ISC,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh Tranh,Hồ Chí Minh
R&D Mechanical Engineer/ Senior Engineer/ Supervisor,Panasonic Appliances Vietnam,Lương: Cạnh Tranh,Hưng Yên
Senior Integration Engineer (AWS),Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Lương: Cạnh Tranh,Hồ Chí Minh
Chuyên viên cao cấp quản lý chuyển đổi - Văn phòng Quản lý dự án,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Lương: Cạnh Tranh,Hà Nội
Medical Data Operation & Analysis Specialist,CÔNG TY CỔ PHẦN GIẢI PHÁP GENE - GENE SOLUTIONS,Lương: Cạnh Tranh,Hồ Chí Minh
Nhân viên IT cơ sở,Công ty CP Giáo dục Quốc tế Việt Úc,Lương: Cạnh Tranh,Hồ Chí Minh
FE React JS (Front End),CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh Tranh,Hồ Chí Minh
Nhân Viên Facebook Ads,Hệ thống Y tế Thu Cúc,Lương: Cạnh Tranh,Hà Nội
Senior AI Prompt Engineer,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Lương: Cạnh Tranh,Hồ Chí Minh
Middle UI/UX Designer,Tập Đoàn CT Group Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
LẬP TRÌNH VIÊN PHÁT TRIỂN ỨNG DỤNG PHẦN MỀM,Tổng công ty Cổ phần Bảo Minh,Lương: Cạnh Tranh,Hồ Chí Minh
"Frontend Developer (Flutter, React Native, React JS)",CÔNG TY CỔ PHẦN GREEN SPEED,Lương: 15 Tr - 25 Tr VND,Hồ Chí Minh
Chuyên viên kinh doanh CNTT - Lương cứng từ 8 - 12 triệu,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TẦM NHÌN,Lương: 8 Tr - 20 Tr VND,Hồ Chí Minh
Senior Frontend Developer,"HD SAISON Finance Co., Ltd",Lương: Cạnh Tranh,Hồ Chí Minh
Quản Trị Viên Máy Chủ (Plesk / AWS),Công ty TNHH Belleza Việt Nam,Lương: Cạnh Tranh,Hồ Chí Minh
Data Engineer - Khối Công nghệ thông tin (HO25.458),Ngân Hàng TMCP Quân Đội,Lương: Cạnh Tranh,Hà Nội
Chuyên viên IT,CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ,Lương: Cạnh Tranh,Hà Nội
Mid/Senior Backend Developer (Golang/Python/TypeScript),Công ty Cổ phần Mỹ phẩm Quốc tế Thùy Dung,Lương: 26 Tr - 35 Tr VND,Hà Nội
CVCC Đại diện đơn vị nghiệp vụ (BA Biz) - SI - MSB - 3K029,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Lương: 28 Tr - 35 Tr VND,Hà Nội
Chuyên Viên BI (Business Intelligence),CÔNG TY CỔ PHẦN CASPER VIỆT NAM,Lương: Cạnh Tranh,Hà Nội
Senior Data Engineer (Finance division) - ID594,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Lương: Cạnh Tranh,Hà Nội
AI Engineer,Công ty Cổ phần CANIFA,Lương: 16 Tr - 35 Tr VND,Hà Nội
Scrum Master/Agile Coach - SI - MSB - 3I119,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Lương: Cạnh Tranh,Hà Nội
Nhân viên Kế Hoạch,CÔNG TY TNHH INTELLIGENT MANUFACTURING JUSTECH VIỆT NAM,Lương: 15 Tr - 30 Tr VND,Bắc Ninh
Nhân Viên Hồ sơ Dự Án (QS),CÔNG TY TNHH TÍCH HỢP HỆ THỐNG NHT,Lương: 8 Tr - 17 Tr VND,"Đà Nẵng
Kiên Giang
Hà Nội"
Kỹ sư hệ thống - Tại Hà Nội,CÔNG TY TNHH TÍCH HỢP HỆ THỐNG NHT,Lương: 8 Tr - 17 Tr VND,"Đà Nẵng
Hà Nội"
Giám Đốc Ban Pháp Chế - Head of Legal,Công ty Cổ phần Tập đoàn Meey Land,Lương: 60 Tr - 90 Tr VND,Hà Nội
Trợ lý Tổng Giám đốc (Mảng Đối Ngoại),Công ty Cổ phần Tập đoàn Meey Land,Lương: 15 Tr - 30 Tr VND,Hà Nội
"Kỹ sư giám sát hiện trường- Tại Hà Nội, Vũng Tàu, Phú Quốc",CÔNG TY TNHH TÍCH HỢP HỆ THỐNG NHT,Lương: 8 Tr - 17 Tr VND,"Hà Nội
Bà Rịa - Vũng Tàu
Kiên Giang"
"Lập trình viên (NodeJS, Rust)",Công ty cổ phần Giải pháp và Truyền thông VTVBroadcom,Lương: Cạnh tranh,Hồ Chí Minh
Expert Backend Developer (AWS),Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Lương: Cạnh tranh,Hồ Chí Minh
[NHÀ MÁY] INFORMATION TECHNOLOGY MANAGER,Công Ty Cổ Phần Vacxin Việt Nam,Lương: Cạnh tranh,"Hồ Chí Minh
Long An"
Chuyên viên cao cấp Bảo mật dữ liệu - Khối Dữ liệu - Senior Data Security - Data Division - Khối Dữ liệu (HO25.456),Ngân Hàng TMCP Quân Đội,Lương: Cạnh tranh,Hà Nội
Chuyên viên Phát triển Sản phẩm - Nhà máy Số Doanh nghiệp - Product Development Specialist - Digital Enterprise Factory - Khối Ngân hàng số (HO25.455),Ngân Hàng TMCP Quân Đội,Lương: Cạnh tranh,Hà Nội
Business Development Executive (Vietnam Market),CÔNG TY TNHH SCRD,Lương: Cạnh tranh,Hồ Chí Minh
Tổ trưởng dây chuyền sản xuất,CÔNG TY CỔ PHẦN ZIONCOM (VIETNAM),Lương: Cạnh tranh,Bình Dương
Phó Phòng Nghiên Cứu Phân Tích Thị Trường,CÔNG TY TNHH ALL VALUE INSIGHT DATA (VIỆT NAM),Lương: 20 Tr - 30 Tr VND,Hồ Chí Minh
Business Consultant (Prefer Shipping Line),"CyberLogitec Vietnam Co., Ltd.",Lương: Cạnh tranh,Hồ Chí Minh
Chuyên gia Kiến trúc công nghệ (Solution Architect) - HO - 2V041,Tập đoàn ROX (ROX Group),Lương: Cạnh tranh,Hà Nội
Chuyên gia Quản lý danh mục đầu tư Công nghệ thông tin - HO - 2V040,Tập đoàn ROX (ROX Group),Lương: Cạnh tranh,Hà Nội
"Expert, Salesforce Developer",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Lương: Trên 20 Tr VND,Hồ Chí Minh
"Senior Officer, Information Security",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Lương: Trên 20 Tr VND,Hà Nội
Java Developer,FE CREDIT,"Lương: 1,000 - 1,500 USD",Hồ Chí Minh
IT Presales Supervisor _ Good English,CÔNG TY GENERAL RESOURCES,Lương: Cạnh Tranh,Hồ Chí Minh
Head of Digital Lending,LOTTE FINANCE VIETNAM,Lương: Cạnh Tranh,Hà Nội
Nhân Viên Vận Hành Giao Dịch,Công Ty CP Chứng Khoán VNDIRECT,Lương: Cạnh Tranh,Hà Nội
Trưởng nhóm Phân tích Dữ liệu – BI Analysis Leader,CÔNG TY CỔ PHẦN TẬP ĐOÀN GELEX,Lương: Cạnh Tranh,Hà Nội
Quận 7-Nhân Viên Phát Triển Phần Mềm (Power Platform),CÔNG TY TNHH POLYTEX FAR EASTERN (VIỆT NAM),Lương: Cạnh Tranh,Hồ Chí Minh
Chuyên viên tài liệu và đào tạo CNTT,EuP Group,Lương: 15 Tr - 25 Tr VND,Hà Nội
Senior Risk Specialist - Ho Chi Minh - ID447,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Lương: Cạnh Tranh,Hồ Chí Minh
Cán Bộ Phát triển phần mềm (PM Quản lý nhân sự),Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam (BIC),Lương: 20 Tr - 40 Tr VND,Hà Nội
Chuyên viên ERP (SAP 4HANA),Tập Đoàn Lộc Trời,Lương: Cạnh Tranh,Hồ Chí Minh
Business Analyst - CRM,Công ty Cổ phần Chứng khoán DNSE,Lương: Cạnh Tranh,Hà Nội
IT MIS ( VĂN PHÒNG QUẬN 7),CÔNG TY TNHH POLYTEX FAR EASTERN (VIỆT NAM),Lương: 15 Tr - 30 Tr VND,Hồ Chí Minh
DevOps,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh Tranh,Hồ Chí Minh
Senior Telecom Operation Specialist (Call center administration),FE CREDIT,"Lương: 900 - 1,500 USD",Hồ Chí Minh
Nhân Viên Dịch Vụ Quản Trị Và Vận Hành Hệ Thống,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh Tranh,Hồ Chí Minh
Nhân Viên IT (Full-Stack Developer),CÔNG TY TNHH HUMAN POWER,Lương: Cạnh Tranh,Bình Dương
Data Engineer - ISC,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh Tranh,Hồ Chí Minh
Cloud System Operations (AWS),FE CREDIT,"Lương: 1,000 - 2,000 USD",Hồ Chí Minh
Mobile (Flutter),CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: Cạnh Tranh,Hồ Chí Minh
Trưởng Phòng Kinh Doanh (Sales Manager),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TẦM NHÌN,Lương: 20 Tr - 25 Tr VND,Hồ Chí Minh
Quản lý dự án ERP,Công Ty TNHH Nhựa Tân Lập Thành,Lương: 15 Tr - 35 Tr VND,Hồ Chí Minh
NHÂN VIÊN R&D,Công ty CP Đầu tư Legacy,Lương: 8 Tr - 15 Tr VND,Hà Nội
Kỹ sư An Toàn Thông Tin,CÔNG TY CỔ PHẨN TẬP ĐOÀN MK,"Lương: 1,000 - 1,500 USD",Hà Nội
Senior UI/UX Designer,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Lương: 20 Tr - 30 Tr VND,Hồ Chí Minh
Senior IT administrator,CÔNG TY TNHH TENTAMUS VIỆT NAM,Lương: Cạnh Tranh,Cần Thơ
[DI9] IT Business Analyst - DXDB - SI - MSB - 4M001,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),"Lương: 1,000 - 2,000 USD",Hà Nội
Chuyên viên Phát triển phần mềm - Phát triển ứng dụng Web,Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (VCBS - Vietcombank Securities),Lương: Cạnh Tranh,Hà Nội
BẮC TỪ LIÊM - BUSINESS ANALYST (15-20 triệu)(MỚI),CÔNG TY CỔ PHẦN TẬP ĐOÀN DEKKO,Lương: 15 Tr - 20 Tr VND,Hà Nội
SAP FICO Specialist(MỚI),Wipro Consumer Care Vietnam,Lương: Cạnh Tranh,Bình Dương
Chuyên Viên Nhân Sự - HR / HRBP (Lĩnh vực Công Nghệ - Tech/IT)(MỚI),Công ty Cổ phần Công nghệ UpBase,Lương: 15 Tr - 25 Tr VND,Hà Nội
IT Helpdesk Specialist (MỚI),CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,Lương: Cạnh tranh,Hồ Chí Minh
Data Engineer (MỚI),CÔNG TY CỔ PHẦN EPLUS RESEARCH,Lương: 30 Tr - 40 Tr VND,Hồ Chí Minh
Kỹ Sư Machine Learning (MỚI),CÔNG TY CỔ PHẦN EPLUS RESEARCH,Lương: 30 Tr - 40 Tr VND,Hồ Chí Minh
"Expert, Site Reliability Engineering (Techcom Life)",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Lương: Cạnh tranh,Hà Nội
(IT) Chuyên viên Triển khai và Vận hành ứng dụng (MỚI),Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services,Lương: Cạnh tranh,Hồ Chí Minh
Chuyên Viên Business Analyst (MỚI),Tập Đoàn Tân Á Đại Thành,Lương: Cạnh tranh,Hà Nội
Senior Frontend Engineer (Next.js/React),Công Ty CP Dược Phẩm Pharmacity,Lương: Cạnh tranh,Hồ Chí Minh
Nhân Viên Kỹ Thuật Điện Tử - Đi làm ngay,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ ĐẦU TƯ BÁCH KHOA,Lương: 9 Tr - 11 Tr VND,Hồ Chí Minh
Senior Technical Editor,HR Vietnam’s ESS Client,Lương: Cạnh tranh,Hồ Chí Minh
"Kỹ Sư Phần Mềm (Tự động hóa, Tiếng Trung)",Headhunter HRchannels Group,Lương: 34 Tr - 35 Tr VND,"Bắc Ninh
Hà Nội
Bắc Giang"
Risk Operation Senior Officer,"HD SAISON Finance Co., Ltd",Lương: Cạnh tranh,Hồ Chí Minh
Nhân viên Digital Marketing,Công ty TNHH XNK thương mại và dịch vụ công nghệ HLF,Lương: 10 Tr - 15 Tr VND,Hà Nội
Nhân viên kinh doanh (Hà Nội),Công Ty TNHH Vinahost,Lương: 7 Tr - 15 Tr VND,Hà Nội
Nhân viên kinh doanh (TP.HCM),Công Ty TNHH Vinahost,Lương: 7 Tr - 15 Tr VND,Hồ Chí Minh
Hà Nội - Tuyển dụng Nhân viên Kỹ thuật Viễn thông,Tổng Công ty Cổ phần Công trình Viettel,Lương: 12 Tr - 18 Tr VND,Hà Nội
Chuyên Viên Bảo Hành,Công ty Cổ phần Mediamart Việt Nam,Lương: 10 Tr - 15 Tr VND,Hà Nội
Chuyên viên CNTT - Mảng AI (Artificial Intelligent),PTSC Offshore Services (POS),Lương: Cạnh tranh,Bà Rịa - Vũng Tàu
Middle Data Engineer,CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,Lương: Cạnh tranh,Hồ Chí Minh
Chuyên viên CNTT - Mảng An toàn thông tin ( Information Security Engineer),PTSC Offshore Services (POS),Lương: Cạnh tranh,Bà Rịa - Vũng Tàu
Senior Data Engineer,CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,Lương: Cạnh tranh,Hồ Chí Minh
IT - System management,Công ty TNHH Sài Gòn Stec,Lương: 10 Tr - 17 Tr VND,Bình Dương
IT-Security,Công ty TNHH Sài Gòn Stec,Lương: 10 Tr - 17 Tr VND,Bình Dương
Nhân Viên Kinh Doanh (B2B),Công ty CP TS24,Lương: 8 Tr - 20 Tr VND,Hồ Chí Minh
[HCM] Lập trình viên Backend & GenAI Integration,Công ty cổ phần Dripcare Global Holding,Lương: Cạnh Tranh,Hồ Chí Minh
Product Owner (Domain Supply Chain Management),Công ty Cổ phần Thời Trang YODY,Lương: Cạnh Tranh,Hồ Chí Minh
[HCM] Lập trình viên Full-Stack E-commerce & Marketplace,Công ty cổ phần HaMo Holdings,Lương: Cạnh Tranh,Hồ Chí Minh
"Power BI Developer (Python, Data Analysis, SQL)",Savills Vietnam,Lương: Cạnh Tranh,Hồ Chí Minh
Chuyên viên cao cấp cải tiến và số hóa quy trình,Ngân Hàng TMCP Quốc Dân (NCB),Lương: Cạnh Tranh,Hà Nội
Kỹ Sư Hệ Thống,CÔNG TY CỔ PHẦN TƯ VẤN CHUYỂN GIAO CÔNG NGHỆ ITC,Lương: Cạnh Tranh,Hà Nội
Trợ Lý Dự Án,CÔNG TY CỔ PHẦN TƯ VẤN CHUYỂN GIAO CÔNG NGHỆ ITC,Lương: Cạnh Tranh,Hà Nội
Nhân Viên Quản Trị Website,Công ty Cổ phần Mediamart Việt Nam,Lương: 12 Tr - 15 Tr VND,Hà Nội
Chuyên viên kiểm thử phần mềm (Tester),GTEL ICT,Lương: Cạnh Tranh,Hà Nội
Chuyên viên Giải pháp Microsoft 365,CÔNG TY TNHH Y TẾ VIỆT TIẾN,Lương: Cạnh Tranh,Hồ Chí Minh
Thực tập sinh Kỹ thuật cơ khí/điện tử,Công ty TNHH Greystone Data Systems Việt Nam,"Lương: 7,5 Tr - 10 Tr VND",Hồ Chí Minh
NV Kế Hoạch Mẫu,"Công ty TNHH, Liên Doanh Vĩnh Hưng (TMI Việt Nam)",Lương: 9 Tr - 11 Tr VND,Hồ Chí Minh
Nhân Viên Hỗ Trợ Công Nghệ Thông Tin,EuP Group,Lương: 10 Tr - 15 Tr VND,Hà Nội
Quản lý chất lượng hệ thống (ITSM),Công ty TNHH Viettel - CHT,Lương: Cạnh Tranh,Hà Nội
Chuyên viên Phân tích Dữ liệu (Khối CNTT),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh Tranh,Hà Nội
Senior Network Engineer,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),Lương: Cạnh Tranh,Hà Nội
Chief Commercial Officer,HR Vietnam’s ESS Client,Lương: Cạnh Tranh,"Hà Nội
Đà Nẵng"
Chuyên viên phân tích nghiệp vụ (Business Analyst),Công Ty TNHH Thương Mại Xuất Nhập Khẩu Fani,Lương: 25 Tr - 30 Tr VND,Hà Nội
Kỹ sư AI (AI Vision),CÔNG TY CỔ PHẦN TẬP ĐOÀN DAT,Lương: 20 Tr - 30 Tr VND,Hồ Chí Minh
Chuyên viên tuyển dụng cao cấp,Công ty TNHH PNK,Lương: 15 Tr - 20 Tr VND,Hà Nội
Nhân Viên Kỹ Thuật IT Triển Khai,CÔNG TY TNHH TMDV & PTTT TÂN PHÁT,Lương: 11 Tr - 13 Tr VND,Hồ Chí Minh
Chuyên viên An toàn Thông tin,CÔNG TY TNHH ĐẦU TƯ MAI TÂM ANH,Lương: Cạnh Tranh,Hồ Chí Minh
PM - Quản lý dự án,NGÂN HÀNG TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM HIỆN ĐẠI,Lương: 12 Tr - 30 Tr VND,Hà Nội
Chuyên viên IT,Công Ty Cổ Phần Thép Việt Xô Hà Nội,Lương: 15 Tr - 18 Tr VND,Hà Nội
Chuyên viên phân tích nghiệp vụ BA,Tập Đoàn Karofi Holding,Lương: 25 Tr - 30 Tr VND,Hà Nội
Trưởng phòng Thiết kế Điện tử (Hardware & Firmware Design Manager),Tập Đoàn Karofi Holding,"Lương: 2,000 - 3,000 USD","Hưng Yên
Hà Nội"
LẬP TRÌNH GAME - GAME DEVELOPERS,Koei Tecmo Software Vietnam,Lương: Cạnh Tranh,Hà Nội
Nhân viên IT Helpdesk/ IT Support,Tổng Công Ty Cổ Phần Bảo Hiểm Ngân Hàng TMCP Công Thương Việt Nam,Lương: Cạnh tranh,Hà Nội
LẬP KẾ HOẠCH CHO GAME - GAME DESIGNER,Koei Tecmo Software Vietnam,Lương: Cạnh tranh,Hà Nội
ERP System Analyst,Công ty TNHH Onpoint,Lương: Cạnh tranh,Hồ Chí Minh
Đại diện Thương mại Quốc tế,Tập Đoàn CT Group Việt Nam,Lương: 18 Tr - 20 Tr VND,Hồ Chí Minh
Backend Developer (Java),Ngân hàng TMCP Phát triển TP.HCM (HDBank),"Lương: 900 - 1,200 USD",Hồ Chí Minh
Tester (QA QC) - TT PTUD - Khối CNTT,Ngân hàng TMCP Phát triển TP.HCM (HDBank),Lương: 15 Tr - 22 Tr VND,Hồ Chí Minh
Chuyên viên Tối Ưu Vận Hành Bán Lẻ (Data Analysis) (MỚI),Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Lương: Cạnh tranh,Hồ Chí Minh
Nhân viên RPA Developer (MỚI),Công Ty TNHH YKK Việt Nam,Lương: 12 Tr - 14 Tr VND,Hồ Chí Minh
Tester (QC/SQA) (MỚI),Concung.com - Con Cung Joint Stock Company,Lương: Cạnh tranh,Hồ Chí Minh
Chuyên viên Mua hàng (MỚI),Công ty CP Thành Thành Công - Biên Hòa,Lương: Cạnh tranh,Tây Ninh
Nhân viên kỹ thuật Trạm viễn thông (MỚI),Công Ty Cổ Phần Viễn Thông ACT,Lương: 8 Tr - 15 Tr VND,Hồ Chí Minh
Nhân viên kỹ thuật Cố định băng rộng (MỚI),Công Ty Cổ Phần Viễn Thông ACT,Lương: 8 Tr - 15 Tr VND,Hồ Chí Minh
Chuyên viên IT Hardware & Network (MỚI),CÔNG TY TNHH HQ SING,Lương: 18 Tr - 20 Tr VND,Hồ Chí Minh
IT ADMIN STAFF (MỚI),CÔNG TY TNHH CRYSTAL ELEGANCE TEXTILES VIỆT NAM,Lương: 7 Tr - 10 Tr VND,Bình Dương
[Nova Service] Chuyên viên Cao cấp Tổ chức Hoạch định và Phân tích Tài chính (Phụ trách hệ thống) (MỚI),Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services,Lương: 18 Tr - 30 Tr VND,Hồ Chí Minh
Product Designer (Chuyên Viên Thiết Kế Sản Phẩm) (MỚI),Công ty Cổ phần Tập đoàn Meey Land,Lương: 20 Tr - 35 Tr VND,Hà Nội
CREATIVE WEB3 FRONTEND ENGINEER (ReactJS/Next.js) (MỚI),Công ty Cổ phần Tập đoàn Meey Land,Lương: 15 Tr - 40 Tr VND,Hà Nội
BACKEND ENGINEER (WEB3/BLOCKCHAIN) (MỚI),Công ty Cổ phần Tập đoàn Meey Land,Lương: 15 Tr - 40 Tr VND,Hà Nội
Giám đốc tài chính (MỚI),Tập Đoàn CT Group Việt Nam,Lương: 80 Tr - 100 Tr VND,Hồ Chí Minh
Nhân viên IT Helpdesk (MỚI),CÔNG TY TNHH ĐẦU TƯ ITS,Lương: 9 Tr - 14 Tr VND,Hồ Chí Minh
Kỹ thuật viên(MỚI),CÔNG TY CỔ PHẦN PHÁT TRIỂN VIỄN THÔNG VÀ TRUYỀN HÌNH VIỆT NAM,Lương: 4 Tr - 7 Tr VND,"Hà Nội
Đồng Tháp
Lạng Sơn"
Chuyên gia/ Chuyên viên AI,Công Ty Quản Lý Nợ Và Khai Thác Tài Sản - Ngân Hàng TMCP Quân Đội,"Lương: 1,500 - 4,000 USD",Hà Nội
Chuyên viên Phân tích nghiệp vụ (Business Analyst),Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (VCBS - Vietcombank Securities),Lương: Cạnh Tranh,Hà Nội
Chuyên Viên Kiểm Thử Phần Mềm (Tester),CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Lương: Cạnh Tranh,Hà Nội
